business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,engagement_count,engagement_rate_by_followers,like_rate_by_views,comment_rate_by_likes,views_per_follower,is_high_engagement,posting_time_category,caption_length_category,hashtag_intensity,content_localization_score
Bethlehem Lash Bar,beauty_salon,13880,2025-12-02,14,Tuesday,12,image,دلعي حالك صورة جديدة. أهلا بالناس الحلوة اطلب الآن وخليها علينا ☕,65,0,1,1317,102,9853,Arabic,True,False,0.0,False,False,False,True,1419,0.10223342939481268,0.13366487364254542,0.0774487471526196,0.7098703170028818,False,afternoon,short,none,3
Nablus Coffee Corner,cafe,3110,2025-12-19,3,Friday,12,image,أجواء ولا أروع صورة جديدة. DM us وخلينا نجهزلك طلبك. #قهوة #مخبز #صيدلية #جيم,77,4,0,146,20,1059,Mixed,True,False,0.0,False,False,False,True,166,0.05337620578778135,0.13786591123701605,0.136986301369863,0.3405144694533762,False,night,short,medium,3
Olive Tree Learning,education_center,8833,2025-09-06,12,Saturday,9,reel,استنونا بدورة جديدة شوفوا الريل. شو رأيكم؟ الكمية محدودة 25% خصم لفترة محدودة زورونا بفرعنا في Hebron راسلونا وخليها علينا,122,0,0,1543,172,17759,Arabic,True,True,25.0,True,False,False,True,1715,0.1941582701234009,0.08688552283349288,0.11147116007777058,2.010528699196196,True,afternoon,medium,none,6
Al Amal Dental,clinic,4566,2025-08-12,21,Tuesday,8,reel,صحتكم أولويتنا شوفوا الريل.,27,0,0,257,13,4594,Arabic,False,False,0.0,False,False,False,False,270,0.05913272010512484,0.055942533739660426,0.05058365758754864,1.0061322820849758,False,evening,short,none,0
Gaza Family Pharmacy,pharmacy,12426,2025-07-14,12,Monday,7,image,Your health matters Photo drop. صنع محلي #Palestine,51,1,0,224,17,4899,English,False,False,0.0,False,False,True,False,241,0.019394817318525673,0.04572361706470708,0.07589285714285714,0.3942539835828102,False,afternoon,short,low,2
Gaza Gadget Shop,electronics_store,49078,2025-02-28,12,Friday,2,carousel,وصلت أجهزة جديدة سوايب وشوفوا التفاصيل. يا جماعة اطلب الآن وخليها علينا,71,0,0,7114,223,62909,Arabic,True,False,0.0,False,False,False,True,7337,0.1494967195077224,0.11308397844505555,0.0313466404273264,1.281816699947023,False,afternoon,short,none,3
Ramallah Fit Hub,gym,4306,2025-07-05,21,Saturday,7,reel,جاهزين للتمرين شوفوا الـ reel. اطلب الآن وخلينا نجهزلك طلبك. #جيم #عروض,71,2,0,163,22,4865,Mixed,True,False,0.0,False,False,False,False,185,0.04296330701346958,0.033504624871531344,0.13496932515337423,1.1298188574082675,False,evening,short,low,0
Al Amal Dental,clinic,4751,2025-05-13,19,Tuesday,5,image,صحتكم أولويتنا صورة جديدة. موجودين في Rafah today. اطلب الآن وخلينا نجهزلك طلبك. 🛍️ 🍰,85,0,2,129,8,1122,Mixed,True,False,0.0,True,False,False,False,137,0.02883603451904862,0.11497326203208556,0.06201550387596899,0.23616080825089455,False,evening,short,none,3
Canaan Threads,store,15017,2025-04-29,18,Tuesday,4,image,وصلت تشكيلة جديدة صورة جديدة. عرض خاص 15% خصم لفترة محدودة ابعتولنا DM وخليها علينا #Hebron #عروض #Palestine,108,3,0,820,144,7739,Arabic,True,True,15.0,True,False,False,False,964,0.06419391356462675,0.10595684196924668,0.17560975609756097,0.5153492708263967,False,evening,medium,low,3
Qahwa Al-Quds,cafe,2724,2025-02-03,6,Monday,2,reel,أجواء ولا أروع شوفوا الريل. زورونا بفرعنا في Jenin زورونا وخليها علينا,70,0,0,660,34,3994,Arabic,True,False,0.0,True,False,False,False,694,0.25477239353891334,0.16524787180771155,0.051515151515151514,1.4662261380323054,True,morning,short,none,3
Jericho Date Bakery,bakery,2865,2025-03-22,21,Saturday,3,image,طازة من الفرن صورة جديدة. خصم special 40% off اليوم! Order now وخلينا نجهزلك طلبك. #تعليم #عروض #عيادة,102,3,0,338,18,2843,Mixed,True,True,40.0,False,False,False,False,356,0.12425828970331589,0.11888849806542384,0.05325443786982249,0.9923211169284468,False,evening,medium,low,0
Gaza Gadget Shop,electronics_store,49561,2025-09-14,22,Sunday,9,reel,وصلت أجهزة جديدة شوفوا الريل. شو رأيكم؟ ادعم المحلي #قهوة,57,1,0,7209,460,79466,Arabic,False,False,0.0,False,False,True,True,7669,0.15473860495147393,0.09071804293660182,0.06380912747953947,1.6033978329735075,False,night,short,low,5
Al Karmel Boutique,store,8929,2025-02-23,13,Sunday,2,carousel,وصلت تشكيلة جديدة سوايب وشوفوا التفاصيل. احنا جاهزين زورونا وخليها علينا #Palestine #قهوة #عيادة,96,3,0,742,103,7814,Arabic,True,False,0.0,False,False,False,True,845,0.09463545749804009,0.09495776810852316,0.13881401617250674,0.8751259939522903,False,afternoon,medium,low,3
Nablus Sweet Oven,bakery,1811,2025-05-03,21,Saturday,5,carousel,طازة من الفرن سوايب وشوفوا التفاصيل. لفترة محدودة 40% خصم لفترة محدودة زورونا وخليها علينا #قهوة #عروض,102,2,0,557,53,3592,Arabic,True,True,40.0,False,False,False,True,610,0.3368304803975704,0.15506681514476614,0.09515260323159784,1.9834345665378244,True,evening,medium,low,3
Nablus Coffee Corner,cafe,3127,2025-10-03,13,Friday,10,reel,أجواء ولا أروع شوفوا الريل. احنا جاهزين اتصل فينا وخليها علينا #قهوة,68,1,0,1336,36,8345,Arabic,True,False,0.0,False,False,False,True,1372,0.4387591941157659,0.16009586578789695,0.02694610778443114,2.6686920370962586,True,afternoon,short,low,3
Hebron Study Hub,education_center,25649,2025-03-21,14,Friday,3,image,استنونا بدورة جديدة صورة جديدة. limited offer لفترة محدودة 40% off اليوم! ☕ 🍰 😍 #Palestine,90,1,3,189,11,4904,Mixed,False,True,40.0,False,False,False,True,200,0.007797574954189247,0.03853996737357259,0.0582010582010582,0.19119653787672033,False,afternoon,medium,low,3
Nablus Coffee Corner,cafe,3064,2025-09-29,7,Monday,9,reel,أجواء ولا أروع شوفوا الـ reel. sale اليوم 15% off اليوم! ابعتولنا DM وخلينا نجهزلك طلبك. 💪 ✅ 🍕 🥙,96,0,4,548,46,10539,Mixed,True,True,15.0,False,False,False,False,594,0.19386422976501305,0.05199734320144226,0.08394160583941605,3.439621409921671,True,morning,medium,none,0
Al Balad Grill,restaurant,7661,2025-12-04,21,Thursday,12,reel,اليوم عنا أكل طيب شوفوا الريل. 🥙 😍,34,0,2,3761,120,27741,Arabic,False,False,0.0,False,False,False,False,3881,0.5065918287429839,0.13557550196460114,0.031906407870247275,3.6210677457251013,True,evening,short,none,0
Canaan Threads,store,14704,2025-08-01,21,Friday,8,image,وصلت تشكيلة جديدة صورة جديدة. ✨,31,0,1,711,59,4702,Arabic,False,False,0.0,False,False,False,True,770,0.05236670293797606,0.15121225010633774,0.0829817158931083,0.31977693144722524,False,evening,short,none,3
Gaza Seaside Kitchen,restaurant,4565,2025-07-22,3,Tuesday,7,image,اليوم عنا أكل طيب صورة جديدة. #صيدلية #عروض,43,2,0,226,28,4199,Arabic,False,False,0.0,False,False,False,False,254,0.05564074479737131,0.053822338652060014,0.12389380530973451,0.9198247535596933,False,night,short,low,0
Canaan Threads,store,14812,2025-09-10,19,Wednesday,9,image,وصلت تشكيلة جديدة صورة جديدة. زورونا بفرعنا في Hebron اتصل فينا وخليها علينا ☕ 🧴 💪 😍,84,0,4,1243,157,7515,Arabic,True,False,0.0,True,False,False,True,1400,0.0945179584120983,0.1654025282767798,0.1263073209975865,0.5073588981906563,False,evening,short,none,6
Al Amal Dental,clinic,4571,2025-11-24,12,Monday,11,reel,صحتكم أولويتنا شوفوا الريل. زورونا بفرعنا في Rafah منتج فلسطيني ابعتولنا DM وخليها علينا,88,0,0,230,12,3157,Arabic,True,False,0.0,True,False,True,False,242,0.05294246335593962,0.07285397529299968,0.05217391304347826,0.6906584992343032,False,afternoon,short,none,5
Strong Roots Gym,gym,698,2025-02-28,22,Friday,2,carousel,جاهزين للتمرين سوايب وشوفوا التفاصيل. شو رأيكم؟ زورونا بفرعنا في Qalqilya اطلب الآن وخليها علينا #تعليم #SupportLocal,117,2,0,64,6,557,Arabic,True,False,0.0,True,False,False,True,70,0.10028653295128939,0.11490125673249552,0.09375,0.7979942693409742,False,night,medium,low,6
Sama Beauty Studio,beauty_salon,1591,2025-08-09,13,Saturday,8,image,دلعي حالك صورة جديدة. #Ramallah #عيادة,38,2,0,134,14,1421,Mixed,False,False,0.0,True,False,False,True,148,0.09302325581395349,0.09429978888106967,0.1044776119402985,0.8931489629164048,False,afternoon,short,low,6
Tulkarm Streetwear,store,34460,2025-03-08,20,Saturday,3,reel,وصلت تشكيلة جديدة شوفوا الـ reel. موجودين في Jenin today. DM us وخلينا نجهزلك طلبك. ☕ 🧴 😍 💪,91,0,4,10735,1507,63526,Mixed,True,False,0.0,True,False,False,False,12242,0.35525246662797444,0.16898592702200674,0.14038192827200746,1.843470690655833,True,evening,medium,none,3
Saj & Manakish House,bakery,9641,2025-01-14,12,Tuesday,1,reel,طازة من الفرن شوفوا الـ reel. احنا جاهزين موجودين في Qalqilya today. DM us وخلينا نجهزلك طلبك. 🛍️ 🩺 #Palestine,110,1,2,913,107,16306,Mixed,True,False,0.0,True,False,False,True,1020,0.10579815371849394,0.055991659511836135,0.1171960569550931,1.6913183279742765,False,afternoon,medium,low,6
Gaza Seaside Kitchen,restaurant,4532,2025-08-15,21,Friday,8,reel,اليوم عنا أكل طيب شوفوا الريل. أهلا بالناس الحلوة اطلب الآن وخليها علينا,72,0,0,1174,110,22428,Arabic,True,False,0.0,False,False,False,True,1284,0.2833186231244484,0.052345282682361334,0.09369676320272573,4.948808473080318,True,evening,short,none,3
Gaza Glow Salon,beauty_salon,1108,2025-12-09,21,Tuesday,12,carousel,دلعي حالك سوايب وشوفوا التفاصيل. احنا جاهزين زورونا بفرعنا في Hebron اطلب الآن وخليها علينا #Palestine #قهوة #جيم #SupportLocal #عيادة,134,5,0,133,7,1271,Arabic,True,False,0.0,True,False,False,True,140,0.1263537906137184,0.10464201416207711,0.05263157894736842,1.1471119133574008,False,evening,medium,medium,6
Tulkarm Streetwear,store,34273,2025-11-27,21,Thursday,11,carousel,وصلت تشكيلة جديدة سوايب وشوفوا التفاصيل. الكمية محدودة 20% خصم لفترة محدودة زورونا بفرعنا في Jenin ادعم المحلي اتصل فينا وخليها علينا #عروض #قهوة #تعليم,152,3,0,5263,761,31407,Arabic,True,True,20.0,True,False,True,False,6024,0.17576517958743035,0.1675741076830006,0.1445943378301349,0.9163773232573746,True,evening,medium,low,5
Olive Tree Learning,education_center,8946,2025-01-22,14,Wednesday,1,reel,استنونا بدورة جديدة شوفوا الـ reel. صنع محلي زورونا وخلينا نجهزلك طلبك. #Palestine #قهوة #مخبز,94,3,0,742,74,10664,Mixed,True,False,0.0,False,False,True,True,816,0.09121395036887994,0.06957989497374344,0.09973045822102426,1.1920411357031075,False,afternoon,medium,low,5
Jericho Physio Hub,clinic,21244,2025-12-03,14,Wednesday,12,video,صحتكم أولويتنا فيديو جديد. شو رأيكم؟ limited offer لفترة محدودة 10% off اليوم! موجودين في Ramallah today. زورونا وخلينا نجهزلك طلبك. 🍕 ✨ ☕ #Ramallah #SupportLocal #تعليم #عيادة #مخبز,182,5,3,1554,162,19440,Mixed,True,True,10.0,True,False,False,True,1716,0.08077574844662022,0.07993827160493827,0.10424710424710425,0.9150819054791941,False,afternoon,long,medium,6
Bethlehem Brew Bar,cafe,2297,2025-12-21,21,Sunday,12,carousel,أجواء ولا أروع Swipe وشوفوا الباقي. يا جماعة limited offer لفترة محدودة 50% off اليوم! موجودين في Jericho today. اطلب الآن وخلينا نجهزلك طلبك. #قهوة #الكترونيات,160,2,0,353,70,3065,Mixed,True,True,50.0,True,False,False,True,423,0.18415324336090552,0.11517128874388255,0.19830028328611898,1.3343491510666086,True,evening,medium,low,6
Nablus Skin Center,clinic,12683,2025-09-20,19,Saturday,9,image,صحتكم أولويتنا صورة جديدة. شو رأيكم؟ ادعم المحلي احجز الآن وخليها علينا 🍰 🧴 ✨ 🩺 #Nablus #مطاعم,94,2,4,963,34,10525,Arabic,True,False,0.0,True,False,True,True,997,0.07860916187021998,0.09149643705463183,0.035306334371754934,0.8298509816289521,False,evening,medium,low,8
Saj & Manakish House,bakery,9747,2025-11-15,14,Saturday,11,reel,طازة من الفرن شوفوا الريل. احنا جاهزين زورونا بفرعنا في Qalqilya احجز الآن وخليها علينا 😍 🎉 🧴,93,0,3,4410,243,25959,Arabic,True,False,0.0,True,False,False,True,4653,0.4773776546629732,0.1698832774760199,0.05510204081632653,2.6632810095413975,True,afternoon,medium,none,6
Olive Tree Learning,education_center,8835,2025-06-26,21,Thursday,6,image,استنونا بدورة جديدة صورة جديدة. sale اليوم 30% off اليوم! موجودين في Hebron today. Order now وخلينا نجهزلك طلبك. 🩺 🔥 #عروض #Palestine #تسوق,139,3,2,510,76,6455,Mixed,True,True,30.0,True,False,False,False,586,0.06632710809281267,0.07900852052672347,0.14901960784313725,0.7306168647425014,False,evening,medium,low,3
Tulkarm Streetwear,store,34279,2025-07-24,21,Thursday,7,carousel,وصلت تشكيلة جديدة Swipe وشوفوا الباقي. يا جماعة 🍕 📍 ✅ #SupportLocal #الكترونيات,79,2,3,8177,532,47472,Mixed,False,False,0.0,False,False,False,True,8709,0.2540622538580472,0.1722489046174587,0.06506053564877094,1.3848712039441058,True,evening,short,low,3
Gaza Gadget Shop,electronics_store,48978,2025-02-08,12,Saturday,2,reel,وصلت أجهزة جديدة شوفوا الريل. أهلا بالناس الحلوة زورونا بفرعنا في Gaza عيد مبارك #Palestine #صيدلية,99,2,0,14346,1260,115515,Arabic,True,False,0.0,True,True,False,True,15606,0.31863285556780596,0.12419166342033502,0.08782936010037641,2.358507901506799,True,afternoon,medium,low,8
Gaza Glow Salon,beauty_salon,1160,2025-05-15,14,Thursday,5,carousel,دلعي حالك Swipe وشوفوا الباقي. شو رأيكم؟ sale اليوم 25% off اليوم!,66,0,0,31,2,497,Mixed,False,True,25.0,False,False,False,True,33,0.028448275862068967,0.06237424547283702,0.06451612903225806,0.42844827586206896,False,afternoon,short,none,3
Jericho Physio Hub,clinic,21464,2025-09-10,20,Wednesday,9,image,صحتكم أولويتنا صورة جديدة. احنا جاهزين #Palestine #تعليم #SupportLocal,70,3,0,423,28,4719,Mixed,False,False,0.0,False,False,False,True,451,0.02101192694744689,0.08963763509218055,0.06619385342789598,0.21985650391352962,False,evening,short,low,3
Hebron Study Hub,education_center,25487,2025-03-05,22,Wednesday,3,reel,استنونا بدورة جديدة شوفوا الريل. أهلا بالناس الحلوة خصم 20% خصم لفترة محدودة زورونا وخليها علينا #مطاعم #الكترونيات,115,2,0,2757,468,25638,Arabic,True,True,20.0,False,False,False,True,3225,0.12653509632361595,0.10753568921132693,0.16974972796517954,1.00592458900616,False,night,medium,low,3
Canaan Threads,store,14532,2025-05-06,5,Tuesday,5,carousel,وصلت تشكيلة جديدة Swipe وشوفوا الباقي. أهلا بالناس الحلوة limited offer لفترة محدودة 10% off اليوم! موجودين في Hebron today. ☕ ✨ 😍 🔥 #Hebron #عروض #قهوة,152,3,4,2222,122,15894,Mixed,False,True,10.0,True,False,False,True,2344,0.1612992017616295,0.13980118283629042,0.05490549054905491,1.0937241948802643,False,morning,medium,low,6
TechSouq Ramallah,electronics_store,53715,2025-09-12,19,Friday,9,image,Latest gadgets in store Photo drop. Available now in Qalqilya. من قلب فلسطين,76,0,0,1744,110,22472,English,False,False,0.0,True,False,True,False,1854,0.03451549846411617,0.07760768956924172,0.06307339449541284,0.4183561388811319,False,evening,short,none,5
Bethlehem Lash Bar,beauty_salon,13442,2025-04-10,1,Thursday,4,reel,دلعي حالك شوفوا الريل. أهلا بالناس الحلوة زورونا وخليها علينا 🔥 #صيدلية,71,1,1,2060,302,38300,Arabic,True,False,0.0,False,False,False,True,2362,0.17571789912215444,0.05378590078328982,0.14660194174757282,2.8492783811932747,True,night,short,low,3
Qalqilya Home Store,store,54830,2025-11-12,14,Wednesday,11,carousel,وصلت تشكيلة جديدة سوايب وشوفوا التفاصيل. #Palestine #صيدلية,59,2,0,7060,779,58203,Arabic,False,False,0.0,False,False,False,False,7839,0.1429691774575962,0.12129958936824563,0.1103399433427762,1.0615174174721869,False,afternoon,short,low,0
Nablus Coffee Corner,cafe,3122,2025-12-15,22,Monday,12,image,أجواء ولا أروع صورة جديدة. DM us وخلينا نجهزلك طلبك. 📍 🎉 #جيم #تعليم #قهوة,74,3,2,448,28,2690,Mixed,True,False,0.0,False,False,False,True,476,0.15246636771300448,0.16654275092936802,0.0625,0.8616271620755925,False,night,short,low,3
Nablus Mobile Center,electronics_store,38474,2025-06-02,14,Monday,6,carousel,وصلت أجهزة جديدة Swipe وشوفوا الباقي. زورونا وخلينا نجهزلك طلبك. 💪,66,0,1,2427,249,36957,Mixed,True,False,0.0,False,False,False,False,2676,0.06955346467744451,0.06567091484698433,0.10259579728059333,0.9605707750688777,False,afternoon,short,none,0
Nablus Health Point,pharmacy,5293,2025-05-03,18,Saturday,5,image,صحتك بتهمنا صورة جديدة. موجودين في Ramallah today. #Palestine #قهوة #تعليم,74,3,0,422,46,5719,Mixed,False,False,0.0,True,False,False,True,468,0.0884186661628566,0.0737891239727225,0.10900473933649289,1.0804836576610617,False,evening,short,low,6
Nablus Mobile Center,electronics_store,39855,2025-03-31,13,Monday,3,reel,وصلت أجهزة جديدة شوفوا الـ reel. DM us وخلينا نجهزلك طلبك. #Palestine #صيدلية #SupportLocal #جيم #تسوق,102,5,0,10652,1314,145590,Mixed,True,False,0.0,False,False,False,False,11966,0.30023836406975285,0.07316436568445635,0.1233571160345475,3.652992096349266,True,afternoon,medium,medium,0
Ramallah Care Pharmacy,pharmacy,13523,2025-01-08,18,Wednesday,1,carousel,صحتك بتهمنا Swipe وشوفوا الباقي. موجودين في Rafah today. 📍 💪,60,0,2,542,47,11644,Mixed,False,False,0.0,True,False,False,False,589,0.043555424092287215,0.046547578151837854,0.08671586715867159,0.861051541817644,False,evening,short,none,3
Jericho Physio Hub,clinic,21826,2025-07-04,20,Friday,7,reel,صحتكم أولويتنا شوفوا الريل. لفترة محدودة 25% خصم لفترة محدودة زورونا وخليها علينا,81,0,0,6913,972,92428,Arabic,True,True,25.0,False,False,False,False,7885,0.3612663795473289,0.07479335266369498,0.14060465789093013,4.234765875561258,True,evening,short,none,0
TechSouq Ramallah,electronics_store,54942,2025-04-14,18,Monday,4,reel,وصلت أجهزة جديدة شوفوا الريل. احنا جاهزين زورونا بفرعنا في Qalqilya راسلونا وخليها علينا 🍰 #قهوة #تعليم,103,2,1,1537,203,38236,Arabic,True,False,0.0,True,False,False,True,1740,0.03166976083870263,0.04019771942671828,0.1320754716981132,0.6959338939245022,False,evening,medium,low,6
Qalqilya Home Store,store,54319,2025-03-11,14,Tuesday,3,carousel,New arrivals just landed Swipe to see more. Visit us. #Palestine #SupportLocal,78,2,0,2854,397,37720,English,True,False,0.0,False,False,False,False,3251,0.05985014451665163,0.07566277836691411,0.1391030133146461,0.6944163184152875,False,afternoon,short,low,0
Nablus Coding Kids,education_center,960,2025-05-07,12,Wednesday,5,reel,استنونا بدورة جديدة شوفوا الريل. خصم 10% خصم لفترة محدودة زورونا وخليها علينا 🛍️ #عروض,86,1,1,251,31,3954,Arabic,True,True,10.0,False,False,False,False,282,0.29375,0.06348002023267577,0.12350597609561753,4.11875,True,afternoon,short,low,0
Ramallah English Corner,education_center,2536,2025-05-02,19,Friday,5,image,استنونا بدورة جديدة صورة جديدة. زورونا بفرعنا في Bethlehem اتصل فينا وخليها علينا #Bethlehem #تعليم #الكترونيات,111,3,0,61,4,1039,Arabic,True,False,0.0,True,False,False,False,65,0.025630914826498423,0.05871029836381136,0.06557377049180328,0.40970031545741326,False,evening,medium,low,3
Ramallah Roastery,cafe,6624,2025-08-26,22,Tuesday,8,video,أجواء ولا أروع فيديو جديد. يا جماعة موجودين في Tulkarm today. DM us وخلينا نجهزلك طلبك. 🧴 💪 #قهوة #Palestine,108,2,2,775,92,5942,Mixed,True,False,0.0,True,False,False,True,867,0.1308876811594203,0.1304274654998317,0.11870967741935484,0.8970410628019324,False,night,medium,low,6
Jericho Physio Hub,clinic,20676,2025-06-14,16,Saturday,6,carousel,صحتكم أولويتنا سوايب وشوفوا التفاصيل. زورونا بفرعنا في Ramallah ابعتولنا DM وخليها علينا #عيادة #عروض #مطاعم #Palestine #تسوق,125,5,0,729,56,9451,Arabic,True,False,0.0,True,False,False,True,785,0.03796672470497195,0.07713469474129722,0.07681755829903979,0.4571000193461018,False,afternoon,medium,medium,6
Ramallah Care Pharmacy,pharmacy,13244,2025-09-09,17,Tuesday,9,reel,صحتك بتهمنا شوفوا الـ reel. DM us وخلينا نجهزلك طلبك.,53,0,0,3028,288,31124,Mixed,True,False,0.0,False,False,False,False,3316,0.2503775294472969,0.09728826628967999,0.095112285336856,2.3500453035336757,True,evening,short,none,0
Sama Beauty Studio,beauty_salon,1564,2025-07-11,4,Friday,7,image,دلعي حالك صورة جديدة. أهلا بالناس الحلوة رمضان كريم #مطاعم #SupportLocal #تعليم,79,3,0,172,23,1532,Mixed,False,False,0.0,False,True,False,True,195,0.12468030690537084,0.1122715404699739,0.13372093023255813,0.979539641943734,False,night,short,low,5
Al Amal Dental,clinic,4601,2025-12-17,19,Wednesday,12,carousel,صحتكم أولويتنا سوايب وشوفوا التفاصيل. احنا جاهزين زورونا بفرعنا في Rafah,72,0,0,275,32,5495,Arabic,True,False,0.0,True,False,False,True,307,0.06672462508150402,0.05004549590536852,0.11636363636363636,1.19430558574223,False,evening,short,none,6
Jericho Date Bakery,bakery,2869,2025-04-02,12,Wednesday,4,video,طازة من الفرن فيديو جديد. احنا جاهزين اتصل فينا وخليها علينا #عيادة #مطاعم,74,2,0,259,37,3175,Arabic,True,False,0.0,False,False,False,True,296,0.10317183687696062,0.0815748031496063,0.14285714285714285,1.1066573719065878,False,afternoon,short,low,3
Qalqilya Home Store,store,53077,2025-06-17,18,Tuesday,6,image,وصلت تشكيلة جديدة صورة جديدة. زورونا بفرعنا في Tulkarm ابعتولنا DM وخليها علينا 🛍️ 🍰,84,0,2,6192,737,64582,Arabic,True,False,0.0,True,False,False,True,6929,0.13054618761422085,0.09587810845127125,0.11902454780361757,1.216760555419485,False,evening,short,none,6
Gaza Seaside Kitchen,restaurant,4389,2025-08-09,13,Saturday,8,reel,اليوم عنا أكل طيب شوفوا الـ reel. شو رأيكم؟ موجودين في Bethlehem today. زورونا وخلينا نجهزلك طلبك. 🍕 🩺 #تعليم,109,1,2,903,112,5479,Mixed,True,False,0.0,True,False,False,True,1015,0.23125996810207336,0.16481109691549553,0.12403100775193798,1.2483481430849852,True,afternoon,medium,low,6
Hebron Fresh Bakery,bakery,1445,2025-08-23,22,Saturday,8,image,طازة من الفرن صورة جديدة. أهلا بالناس الحلوة زورونا وخليها علينا 💪 🍕 🍰 📚 #قهوة,78,1,4,325,19,1991,Arabic,True,False,0.0,False,False,False,True,344,0.23806228373702423,0.16323455549974886,0.05846153846153846,1.3778546712802768,True,night,short,low,3
Bethlehem Brew Bar,cafe,2176,2025-10-09,21,Thursday,10,image,أجواء ولا أروع صورة جديدة. منتج فلسطيني ابعتولنا DM وخلينا نجهزلك طلبك. #قهوة #عيادة #SupportLocal,98,3,0,193,25,1150,Mixed,True,False,0.0,False,False,True,False,218,0.10018382352941177,0.16782608695652174,0.12953367875647667,0.5284926470588235,False,evening,medium,low,2
