business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,kind,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate
Fashion Shop Ramallah,Fashion,16500.0,2026-05-04,0.0,Monday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,0.0,0.0,126.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.0076363636363636364,0.0,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0
Fashion Shop Ramallah,Fashion,16500.0,2026-05-04,0.0,Monday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,1.0,0.0,196.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,1.0,6.0606060606060605e-05,6.0606060606060605e-05,0.0,0.01187878787878788,0.00510204081632653,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0
Fashion Shop Ramallah,Fashion,16500.0,2026-05-03,0.0,Sunday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0.0,232.0,Arabic-English Mixed,True,False,30.0,True,False,False,True,0.0,,2.0,0.00012121212121212121,0.00012121212121212121,0.0,0.01406060606060606,0.008620689655172414,2026-04-27/2026-05-03,0,1,night,long,few,many,low,medium,0,0,0
Fashion Shop Ramallah,Fashion,16500.0,2026-05-03,0.0,Sunday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0.0,207.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,2.0,0.00012121212121212121,0.00012121212121212121,0.0,0.012545454545454545,0.00966183574879227,2026-04-27/2026-05-03,0,1,night,long,few,many,low,medium,0,0,0
Fashion Shop Ramallah,Fashion,16500.0,2026-05-02,0.0,Saturday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,0.0,0.0,157.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.009515151515151515,0.0,2026-04-27/2026-05-03,0,1,night,long,few,many,low,medium,0,0,0
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,reel,New collection 2026. ❤️🔥 تشكيلة بجامات رجالي 50 شيكل فقط,58,1,3,0.0,0.0,400.0,Arabic,True,True,0.0,True,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.009302325581395349,0.0,2026-05-04/2026-05-10,0,1,night,short,few,few,low,medium,0,0,0
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,reel,New collection 2026. ❤️🔥 تشكيلة بجامات ولادي 40 شيكل فقط,58,1,3,3.0,0.0,451.0,Arabic,True,True,0.0,True,False,False,True,0.0,,3.0,6.976744186046511e-05,6.976744186046511e-05,0.0,0.010488372093023255,0.0066518847006651885,2026-05-04/2026-05-10,0,1,night,short,few,few,low,medium,0,0,0
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,reel,New collection 2026 ✨❤️❤️ تشكيلة بجامات ستاتي 50 شيكل فقط,61,1,4,4.0,0.0,689.0,Arabic,True,True,0.0,True,False,False,True,0.0,,4.0,9.302325581395348e-05,9.302325581395348e-05,0.0,0.016023255813953488,0.005805515239477504,2026-05-04/2026-05-10,0,1,night,medium,few,many,low,medium,0,0,0
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,reel,❤️❤️❤️ تشكيلة أطقم ستاتي فخمة ومميزة,36,1,4,4.0,0.0,470.0,Arabic,True,True,0.0,True,False,False,True,0.0,,4.0,9.302325581395348e-05,9.302325581395348e-05,0.0,0.010930232558139534,0.00851063829787234,2026-05-04/2026-05-10,0,1,night,short,few,many,low,medium,0,0,0
Grand Stores Mall,Fashion,43000.0,2026-05-06,0.0,Wednesday,5,reel,❤️❤️ متوفر داخل جميع الفروع,27,0,2,20.0,0.0,4499.0,Arabic,False,False,0.0,False,False,False,True,0.0,,20.0,0.00046511627906976747,0.00046511627906976747,0.0,0.10462790697674419,0.004445432318292954,2026-05-04/2026-05-10,0,1,night,short,none,few,medium,medium,0,0,0
Grand Stores Mall,Fashion,43000.0,2026-05-06,0.0,Wednesday,5,reel,الرجالي ٥٠ شيكل الولادي ٤٠ شيكل متوفر داخل جميع الفروع,56,0,0,17.0,0.0,1569.0,Arabic,False,True,0.0,False,False,False,True,0.0,,17.0,0.00039534883720930233,0.00039534883720930233,0.0,0.036488372093023254,0.010834926704907584,2026-05-04/2026-05-10,0,1,night,short,none,none,medium,medium,0,0,0
Grand Stores Mall,Fashion,43000.0,2026-05-06,0.0,Wednesday,5,reel,🔥❤️ تشكيلة جديدة داخل القسم المنزلي,38,1,2,65.0,0.0,13000.0,Arabic,True,True,0.0,True,False,False,True,0.0,,65.0,0.0015116279069767441,0.0015116279069767441,0.0,0.3023255813953488,0.005,2026-05-04/2026-05-10,0,1,night,short,few,few,medium,medium,0,0,0
Grand Stores Mall,Fashion,43000.0,2026-05-06,0.0,Wednesday,5,reel,🎀🤍 minigood تشكيلة جديدة داخل قسم,36,1,3,83.0,0.0,15300.0,Mixed,True,True,0.0,True,False,False,True,0.0,,83.0,0.0019302325581395348,0.0019302325581395348,0.0,0.3558139534883721,0.0054248366013071895,2026-05-04/2026-05-10,0,1,night,short,few,few,medium,medium,0,1,0
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,post,🔥❤️ تشكيلة جديدة داخل القسم المنزلي بانتظاركم بكل حب داخل جميع فروع جراند ستورز,83,1,2,0.0,0.0,0.0,Arabic,True,True,0.0,True,False,False,True,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-04/2026-05-10,0,0,night,medium,few,few,low,medium,0,0,0
KOTON Palestine,Fashion,61700.0,2025-02-23,0.0,Sunday,2,reel,منستناكم كل يوم 😍✨,20,0,2,529.0,5.0,105000.0,Arabic,True,False,0.0,False,False,False,True,0.0,,534.0,0.008654781199351702,0.008573743922204214,8.103727714748784e-05,1.7017828200972447,0.005085714285714285,2025-02-17/2025-02-23,0,1,night,short,none,few,high,large,1,1,1
KOTON Palestine,Fashion,61700.0,2024-09-29,0.0,Sunday,9,reel,بدكم تكونو من المميزين؟📍 منستناكم كل يوم 🫶 koton koton #kotonkids #kotonesarp #love #adore #trend #music #custome #clothes #shopping #happy #happybirthday #happylife #beuty #fashion #fashionblogger #fashionstyle #hi 😌 #bye,249,15,4,307.0,0.0,106000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,307.0,0.004975688816855754,0.004975688816855754,0.0,1.7179902755267422,0.0028962264150943396,2024-09-23/2024-09-29,0,1,night,long,many,many,high,large,1,1,0
KOTON Palestine,Fashion,61700.0,2024-12-23,0.0,Monday,12,reel,تعالو زورونا في فرعنا في ايكون مول 📍✨,38,0,2,988.0,0.0,167000.0,Arabic,True,True,0.0,True,False,False,True,0.0,,988.0,0.0160129659643436,0.0160129659643436,0.0,2.706645056726094,0.005916167664670659,2024-12-23/2024-12-29,0,1,night,short,none,few,high,large,1,1,0
KOTON Palestine,Fashion,61700.0,2026-04-30,0.0,Thursday,4,reel,Spring looks you’ll love 🌸✨ كولكشن الربيع من كوتون، ألوان منعشة وستايل خفيف لكل يوم 📍 فروعنا بانتظاركم 🚚 متوفر خدمة التوصيل #كوتون #كولكشن_الربيع #ستايل #موضة,181,4,5,17.0,1.0,2434.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,18.0,0.00029173419773095626,0.0002755267423014587,1.620745542949757e-05,0.039448946515397085,0.007395234182415777,2026-04-27/2026-05-03,0,1,night,long,few,many,low,large,0,0,0
KOTON Palestine,Fashion,61700.0,2026-04-23,0.0,Thursday,4,reel,New Spring Collection 🌸✨ ستايل خفيف، ألوان منعشة، وأناقة بتفاصيل كوتون 📌 رام الله - سردا - ايكون مول 📌 رام الله - الارسال - مقابل المقاطعة 📌 رام الله - رفيديا - مقابل الاكاديمية خليك جاهزة للربيع بأحلى لوك ♡ #كوتون #كولكشن_الربيع #ستايل #موضة #نيو_كولكشن,298,5,7,15.0,2.0,2810.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,17.0,0.0002755267423014587,0.00024311183144246353,3.241491085899514e-05,0.04554294975688817,0.006049822064056939,2026-04-20/2026-04-26,0,1,night,long,many,many,low,large,0,0,0
KOTON Palestine,Fashion,61700.0,2026-03-24,0.0,Tuesday,3,reel,شو رأيكم باللون الأسود؟🖤✨ fashion# #رام_الله #outfitoftheday #كوتون #koton#,87,4,2,7.0,0.0,2659.0,Arabic/English Mixed,False,True,0.0,True,False,False,True,0.0,,7.0,0.00011345218800648298,0.00011345218800648298,0.0,0.04309562398703404,0.0026325686348251222,2026-03-23/2026-03-29,0,1,night,medium,few,few,low,large,0,0,0
KOTON Palestine,Fashion,61700.0,2026-03-18,0.0,Wednesday,3,reel,اني اكثر لبسة حبيتوها؟😍✨ outfitoftheday #fashion #grwmoutfit# #كوتون #koton#,89,4,2,0.0,0.0,1313.0,Arabic/English Mixed,False,True,0.0,False,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.02128038897893031,0.0,2026-03-16/2026-03-22,0,1,night,medium,few,few,low,large,0,0,0
KOTON Palestine,Fashion,61700.0,2026-03-14,0.0,Saturday,3,reel,مين جاب لبسة العيد من كوتون؟🛍️✨ outfitoftheday #fashion #ootd# #كوتون #koton#,91,4,2,0.0,0.0,1264.0,Arabic/English Mixed,False,True,0.0,False,True,False,True,0.0,,0.0,0.0,0.0,0.0,0.020486223662884925,0.0,2026-03-09/2026-03-15,0,1,night,medium,few,few,low,large,0,0,0
Mikkawi 1955,Fashion,55900.0,2025-08-10,0.0,Sunday,8,reel,أيقونة فريدة تجمع أرقى ما أبدعه مصممو الأزياء في العالم ✨ تجربة تسوق استثنائية تستحقونها 📍 شارع الأكاديمية - نابلس #نابلس #رام_الله #جنين #ramallah #nablus #jenin #newman #newlady #Geox,190,9,3,152.0,5.0,310000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,157.0,0.002808586762075134,0.0027191413237924868,8.944543828264758e-05,5.545617173524151,0.0005064516129032258,2025-08-04/2025-08-10,0,1,night,long,many,few,medium,medium,0,1,1
Mikkawi 1955,Fashion,55900.0,2025-05-21,0.0,Wednesday,5,reel,زيارة استثنائية للراقية أسيل لمكاوي فاشن هاوس نابلس! ❤️ تابعوا الجزء من زيارتها وتجربة التسوق الفريدة بالريل ✨ #نابلس #جنين #رام_الله #جيبوكس #nablus #mikkawiSS2025 #newlady #newcollection #newman #fyp #geox,222,10,3,1275.0,0.0,1900000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,1275.0,0.022808586762075134,0.022808586762075134,0.0,33.98926654740608,0.0006710526315789473,2025-05-19/2025-05-25,0,1,night,long,many,few,high,medium,1,1,0
Mikkawi 1955,Fashion,55900.0,2026-05-05,0.0,Tuesday,5,reel,في كل مراحل حياتك newlady حاضرة لتنصحكِ بالفرق! ❤️ تنتظركِ تشكيلة رائعة لهذا الموسم 📍 اطلبيها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضلي بزيارة معارضنا لمشاهدة التشكيلة الكاملة! 00972592077766 #نابلس #رام_الله #شوبيدي ramallah #nablus #newlady #mikkawiSS2026 #newcollection,320,7,3,69.0,0.0,10200.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,69.0,0.0012343470483005368,0.0012343470483005368,0.0,0.18246869409660108,0.006764705882352941,2026-05-04/2026-05-10,0,1,night,long,many,few,medium,medium,0,0,0
Mikkawi 1955,Fashion,55900.0,2026-05-04,0.0,Monday,5,reel,من الإطلالة اليومية المريحة إلى قمة الأناقة والجاذبية مع فستان وحقيبة Marella ✨ حضور يخطف الأنظار لهذا الموسم! 👜 اطلبيها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضلي بزيارة معارضنا لمشاهدة التشكيلة الكاملة! للتفاصيل ابحث من خلال الموقع 2613221151 2613221151270 #نابلس #رام_الله #شوبيدي #marella #ramallah #nablus #newlady #mikkawiSS2026 #newcollection,414,9,4,55.0,0.0,6552.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,55.0,0.0009838998211091235,0.0009838998211091235,0.0,0.1172093023255814,0.008394383394383394,2026-05-04/2026-05-10,0,1,night,long,many,many,medium,medium,0,0,0
Mikkawi 1955,Fashion,55900.0,2026-04-30,0.0,Thursday,4,reel,محفظة Bugatti الجلدية هي انعكاس لذوقك الرفيع بتصميمها المبتكر تمنحك المساحة والأمان الذي تحتاجه لموسم ربيع وصيف 2026 👜 اطلبيها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضلي بزيارة معارضنا لمشاهدة التشكيلة الكاملة! 00972592077766 #نابلس #رام_الله #جنين #شوبمان ramallah #nablus #jenin #newman #mikkawiSS2026 #newcollection #Bugatti,393,10,3,26.0,0.0,14900.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,26.0,0.00046511627906976747,0.00046511627906976747,0.0,0.26654740608228983,0.00174496644295302,2026-04-27/2026-05-03,0,1,night,long,many,few,medium,medium,0,0,0
Mikkawi 1955,Fashion,55900.0,2026-04-28,0.0,Tuesday,4,reel,بدلة Di Porto صُممت لتكون الاختيار الأمثل لهذا الموسم 👔 البدلة المثالية للسفر والعمل الطويل تبقى بكامل أناقتك ✨ مصنوعة من أقمشة Di Porto Fit الإيطالية الفاخرة تمنح Cool Wool النسيج المثالي والبارد ❄️ اطلبها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضل بزيارة معارضنا لمشاهدة التشكيلة الكاملة! 00972592077766 #نابلس #رام_الله #جنين #شوبمان ramallah #nablus #jenin #newman #DiPorto #mikkawiSS2026 #newcollection,531,11,6,187.0,4.0,61600.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,191.0,0.003416815742397138,0.00334525939177102,7.155635062611807e-05,1.1019677996422181,0.0031006493506493507,2026-04-27/2026-05-03,0,1,night,long,many,many,medium,medium,0,1,1
Mikkawi 1955,Fashion,55900.0,2026-04-25,0.0,Saturday,4,reel,لأناقة فاتنة لهذا الموسم، اخترنا لكِ تنسيقة متكاملة من Marella مزينة بسكارف، ليضيف لمظهرك جمال لافت ✨ اطلبيها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضلي بزيارة معارضنا لمشاهدة التشكيلة الكاملة! 00972592077766 #نابلس #رام_الله #شوبيدي ramallah #nablus #newlady #marella #mikkawiSS2026 #newcollection,389,8,2,106.0,2.0,60800.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,108.0,0.0019320214669051878,0.0018962432915921288,3.5778175313059034e-05,1.0876565295169947,0.0017763157894736842,2026-04-20/2026-04-26,0,1,night,long,many,few,medium,medium,0,1,0
Mikkawi 1955,Fashion,55900.0,2026-04-24,0.0,Friday,4,reel,بدلة فاخرة من الصوف البارد من Di Porto بقصة Tailored Fit ✨ صُممت بدقة، بتقنية Travel Suit لتوفر لك راحة استثنائية ومظهر أنيق في جميع مناسباتك لهذا الموسم 👔 اطلبها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضل بزيارة معارضنا لمشاهدة التشكيلة الكاملة! 00972592077766 #نابلس #رام_الله #جنين #شوبمان ramallah #nablus #jenin #newman #DiPorto #mikkawiSS2026 #newcollection,484,11,4,67.0,0.0,9618.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,67.0,0.0011985688729874776,0.0011985688729874776,0.0,0.17205724508050088,0.006966105219380328,2026-04-20/2026-04-26,0,1,night,long,many,many,medium,medium,0,0,0
Mikkawi 1955,Fashion,55900.0,2026-04-25,0.0,Saturday,4,post,حذاء Spherica من Geox ليس مجرد حذاء، هو رفيقك المثالي لراحة استثنائية لهذا الموسم، بتصميم يكمل أناقتك 🇮🇹👟 اطلبه من خلال متجرنا الإلكتروني أو من الرسائل 📩 أو تفضل بزيارتنا في جميع فروع Geox Palestine لمشاهدة التشكيلة الكاملة! 📍 https://wa.me/972592077766,287,0,5,58.0,0.0,0.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,1.0,post,58.0,0.001037567084078712,0.001037567084078712,0.0,0.0,0.0,2026-04-20/2026-04-26,0,0,night,long,none,many,medium,medium,0,0,0
EUROMODA,Fashion,14800.0,2023-10-03,0.0,Tuesday,10,reel,Shopping Euromoda with friends! ✨ يورومودا خيارك الدائم لكل مناسبة 📍رام الله مول، b2 - شارع الإرسال خدمة التوصيل للضفة والداخل,117,0,2,98.0,0.0,56400.0,Mixed,True,True,0.0,True,False,False,True,0.0,,98.0,0.006621621621621622,0.006621621621621622,0.0,3.810810810810811,0.0017375886524822696,2023-10-02/2023-10-08,0,1,night,medium,none,few,high,medium,1,1,0
EUROMODA,Fashion,14800.0,2023-09-28,0.0,Thursday,9,reel,أضيفي اللمسة المفقودة الى لِبسك من يورومودا ✨ رام الله مول، b2 - شارع الإرسال خدمة التوصيل للضفة والداخل #ramallah #fashion #clothingbrand #stylingtips #fashioninspo #euromoda #palestine,198,7,1,210.0,0.0,50800.0,Mixed,True,True,0.0,True,False,True,True,0.0,,210.0,0.01418918918918919,0.01418918918918919,0.0,3.4324324324324325,0.004133858267716535,2023-09-25/2023-10-01,0,1,night,long,many,few,high,medium,1,1,0
EUROMODA,Fashion,14800.0,2023-09-26,0.0,Tuesday,9,reel,✅ أساسيات الجامعة: الكتب ✅ إضافة من يورومودا ✨ وهيك صرتي جاهزة ترُوحي بداية اليوم 📍رام الله مول، b2 - شارع الإرسال خدمة التوصيل للضفة والداخل #fashiontrends #fashioninspo #ramallah #palestine #fashion #clothingbrand,239,6,3,36.0,0.0,7232.0,Mixed,True,True,0.0,True,False,True,True,0.0,,36.0,0.0024324324324324323,0.0024324324324324323,0.0,0.48864864864864865,0.00497787610619469,2023-09-25/2023-10-01,0,1,night,long,many,few,medium,medium,0,1,0
EUROMODA,Fashion,14800.0,2023-09-24,0.0,Sunday,9,reel,EUROMODA: A Style That Stays! 📍رام الله مول - b2 شارع الإرسال خدمة التوصيل للضفة والداخل #ramallah #fashion #clothingstore #trendyclothes #fallfashion,165,5,1,236.0,0.0,45000.0,Mixed,True,True,0.0,True,False,False,True,0.0,,236.0,0.015945945945945946,0.015945945945945946,0.0,3.0405405405405403,0.005244444444444445,2023-09-18/2023-09-24,0,1,night,long,many,few,high,medium,1,1,0
EUROMODA,Fashion,14800.0,2023-06-03,0.0,Saturday,6,reel,Get your best Summer Outfits 🤍🌞 EUROMODA🌞🤍 #euromodapalestine #linen #ramallah #dress,101,4,4,15.0,0.0,2282.0,English,True,True,0.0,True,False,False,False,0.0,,15.0,0.0010135135135135136,0.0010135135135135136,0.0,0.1541891891891892,0.006573181419807186,2023-05-29/2023-06-04,0,1,night,medium,few,many,medium,medium,0,0,0
EUROMODA,Fashion,14800.0,2023-05-27,0.0,Saturday,5,reel,LINEN PANTS perfect for the hot summer weather ✨🌞🌻 SS23EUROMODA,73,0,3,59.0,1.0,4642.0,English,False,True,0.0,False,False,False,False,0.0,,60.0,0.004054054054054054,0.0039864864864864865,6.756756756756757e-05,0.31364864864864866,0.012925463162429988,2023-05-22/2023-05-28,0,1,night,medium,none,few,medium,medium,0,0,1
EUROMODA,Fashion,14800.0,2023-05-17,0.0,Wednesday,5,reel,cargo pants styled in multiple outfits 🍂 perfect for day to day outfits 🍂🤎 SS2023,90,0,3,68.0,0.0,39800.0,English,False,True,0.0,False,False,False,False,0.0,,68.0,0.0045945945945945945,0.0045945945945945945,0.0,2.689189189189189,0.001708542713567839,2023-05-15/2023-05-21,0,1,night,medium,none,few,medium,medium,0,1,0
EUROMODA,Fashion,14800.0,2023-05-07,0.0,Sunday,5,reel,SS23 🌞🌷SUMMER COLLECTION 🌞🌷 shop our new collection for all your upcoming events 🌸💐,95,0,8,77.0,0.0,4788.0,English,True,True,0.0,False,False,False,False,0.0,,77.0,0.0052027027027027025,0.0052027027027027025,0.0,0.32351351351351354,0.01608187134502924,2023-05-01/2023-05-07,0,1,night,medium,none,many,high,medium,1,0,0
Ghazala__store غزالة ستور,Fashion,3100.0,2026-05-05,0.0,Tuesday,5,reel,صباحك أنيق بالفستان الكلاسيكي الأسود ✨,38,0,1,0.0,0.0,652.0,Arabic,False,True,0.0,False,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.2103225806451613,0.0,2026-05-04/2026-05-10,0,1,night,short,none,few,low,small,0,0,0
